Food_Product,Farm,Land_Use_Change,Animal_Feed,Processing,Transport,Packaging,Retail,Total,Vegetarian,Vegan,Pescatarian,No_Diet
Wheat & Rye,0.8,0.1,0,0.2,0.1,0.1,0.1,1.4,1,1,1,1
Maize,0.5,0.3,0,0.1,0.1,0.1,0,1.1,1,1,1,1
Barley,0.2,0,0,0.1,0,0.5,0.3,1.1,1,1,1,1
Oatmeal,1.4,0,0,0,0.1,0.1,0,1.6,1,1,1,1
Rice,3.6,0,0,0.1,0.1,0.1,0.1,4,1,1,1,1
Potatoes,0.2,0,0,0,0.1,0,0,0.3,1,1,1,1
Cassava,0.2,0.6,0,0,0.1,0,0,0.9,1,1,1,1
Cane Sugar,0.5,1.2,0,0,0.8,0.1,0,2.6,1,1,1,1
Beet Sugar,0.5,0,0,0.2,0.6,0.1,0,1.4,1,1,1,1
Other Pulses,1.1,0,0,0,0.1,0.4,0,1.6,1,1,1,1
Peas,0.7,0,0,0,0.1,0,0,0.8,1,1,1,1
Groundnuts,1.4,0.4,0,0.4,0.1,0.1,0,2.4,1,1,1,1
Soymilk,0.1,0.2,0,0.2,0.1,0.1,0.3,1,1,1,1,1
Tofu,0.5,1,0,0.8,0.2,0.2,0.3,3,1,1,1,1
Soybean Oil,1.5,3.1,0,0.3,0.3,0.8,0,6,1,1,1,1
Palm Oil,2.1,3.1,0,1.3,0.2,0.9,0,7.6,1,1,1,1
Sunflower Oil,2.1,0.1,0,0.2,0.2,0.9,0,3.5,1,1,1,1
Rapeseed Oil,2.3,0.2,0,0.2,0.2,0.8,0,3.7,1,1,1,1
Tomatoes,0.7,0.4,0,0,0.2,0.1,0,1.4,1,1,1,1
Onions & Leeks,0.2,0,0,0,0.1,0,0,0.3,1,1,1,1
Root Vegetables,0.2,0,0,0,0.1,0,0,0.3,1,1,1,1
Brassicas,0.3,0,0,0,0.1,0,0,0.4,1,1,1,1
Other Vegetables,0.2,0,0,0.1,0.2,0,0,0.5,1,1,1,1
Berries & Grapes,0.7,0,0,0,0.2,0.2,0,1.1,1,1,1,1
Coffee,10.4,3.7,0,0.6,0.1,1.6,0.1,16.5,1,1,1,1
Dark Chocolate,3.7,14.3,0,0.2,0.1,0.4,0,18.7,1,1,1,1
Beef (Beef herd),39.4,16.3,1.9,1.3,0.3,0.2,0.2,59.6,0,0,0,1
Beef (Dairy herd),15.7,0.9,2.5,1.1,0.4,0.3,0.2,21.1,0,0,0,1
Lamb & Mutton,19.5,0.5,2.4,1.1,0.5,0.3,0.2,24.5,0,0,0,1
Pig Meat,1.7,1.5,2.9,0.3,0.3,0.3,0.2,7.2,0,0,0,1
Poultry Meat,0.7,2.5,1.8,0.4,0.3,0.2,0.2,6.1,0,0,0,1
Milk,1.5,0.5,0.2,0.1,0.1,0.1,0.3,2.8,1,0,1,1
Cheese,13.1,4.5,2.3,0.7,0.1,0.2,0.3,21.2,1,0,1,1
Eggs,1.3,0.7,2.2,0,0.1,0.2,0,4.5,1,0,1,1
Fish,3.6,0.5,0.8,0,0.1,0.1,0,5.1,0,0,1,1
Shrimps,8.4,0.2,2.5,0,0.2,0.3,0.2,11.8,0,0,1,1
Fruit,1.2,0,0,0.1,0.7,0.1,0,2.1,1,1,1,1