country,code,year,energy
Africa,,2019,4219.738358
Algeria,DZA,2019,16376.10211
Argentina,ARG,2019,21479.67108
Australia,AUS,2019,70644.03318
Austria,AUT,2019,46523.95837
Azerbaijan,AZE,2019,18127.56636
Bangladesh,BGD,2019,2995.379931
Belarus,BLR,2019,31081.28356
Belgium,BEL,2019,65302.71671
Brazil,BRA,2019,16325.04707
Bulgaria,BGR,2019,29649.21971
Canada,CAN,2019,105539.8809
Chile,CHL,2019,24269.27326
China,CHN,2019,27452.47793
Colombia,COL,2019,10618.22879
Croatia,HRV,2019,22870.48554
Cyprus,CYP,2019,27022.73175
Czech Republic,CZE,2019,44313.39082
Denmark,DNK,2019,33534.55718
Ecuador,ECU,2019,11899.70389
Egypt,EGY,2019,10753.00018
Estonia,EST,2019,50000.79918
Europe,,2019,31159.83147
Finland,FIN,2019,55118.02413
France,FRA,2019,41281.29857
Germany,DEU,2019,43703.37936
Greece,GRC,2019,30383.69698
Hong Kong,HKG,2019,46370.72015
Hungary,HUN,2019,28488.96577
Iceland,ISL,2019,179962.7956
India,IND,2019,6923.930653
Indonesia,IDN,2019,9146.766789
Iran,IRN,2019,41354.45537
Iraq,IRQ,2019,15733.70777
Ireland,IRL,2019,37739.29558
Israel,ISR,2019,36717.17914
Italy,ITA,2019,29239.01238
Japan,JPN,2019,40888.80434
Kazakhstan,KAZ,2019,46415.63915
Kuwait,KWT,2019,108127.0626
Latvia,LVA,2019,23136.92464
Lithuania,LTU,2019,24641.049
Luxembourg,LUX,2019,76658.11823
Macedonia,MKD,2019,14919.49585
Malaysia,MYS,2019,37053.569
Mexico,MEX,2019,16810.78257
Morocco,MAR,2019,7227.939951
Netherlands,NLD,2019,57046.58353
New Zealand,NZL,2019,53224.65074
North America,,2019,88336.8051
Norway,NOR,2019,91240.27166
Oman,OMN,2019,84532.48242
Pakistan,PAK,2019,4566.900705
Peru,PER,2019,9924.19947
Philippines,PHL,2019,5200.078622
Poland,POL,2019,31355.41756
Portugal,PRT,2019,28328.31818
Qatar,QAT,2019,198418.1174
Romania,ROU,2019,19665.13472
Russia,RUS,2019,56756.4658
Saudi Arabia,SAU,2019,89451.93792
Singapore,SGP,2019,169886.0826
Slovakia,SVK,2019,33458.19614
Slovenia,SVN,2019,37446.17781
South Africa,ZAF,2019,25619.73514
South Korea,KOR,2019,67083.31998
Spain,ESP,2019,34004.43479
Sri Lanka,LKA,2019,4671.618376
Sweden,SWE,2019,62046.9209
Switzerland,CHE,2019,36542.17356
Taiwan,TWN,2019,56205.53066
Thailand,THA,2019,22398.50832
Trinidad and Tobago,TTO,2019,142118.8196
Turkey,TUR,2019,21609.12344
Turkmenistan,TKM,2019,67658.4027
Ukraine,UKR,2019,21501.21988
United Arab Emirates,ARE,2019,137317.7699
United Kingdom,GBR,2019,32249.73456
United States,USA,2019,79897.15141
Uzbekistan,UZB,2019,15022.41751
Venezuela,VEN,2019,21691.92586
Vietnam,VNM,2019,11861.73826
World,OWID_WRL,2019,21027.41491