Year,Passenger_road_vehicles,Aviation,Road_freight_vehicles,Rail,Shipping,Other
2000,2.535501062,0.673749567,1.701686311,0.085600505,0.621249198,0.139543496
2001,2.587838249,0.656728212,1.721470782,0.082290771,0.596997808,0.143456962
2002,2.66557415,0.663804395,1.755210699,0.084139638,0.613686425,0.145447897
2003,2.75751036,0.660148859,1.772868341,0.086941279,0.633882046,0.150451083
2004,2.844065952,0.702584889,1.858302154,0.093784072,0.681737737,0.15816784
2005,2.875399451,0.72925171,1.899517718,0.099882774,0.704680259,0.164452214
2006,2.918504821,0.73742329,1.945958035,0.10457344,0.751052603,0.161973195
2007,2.99094962,0.756079475,2.014080125,0.104101185,0.789985428,0.171959087
2008,3.007970886,0.747582737,2.033957807,0.095429102,0.77774516,0.172904743
2009,3.01349685,0.708205814,1.99761053,0.082710221,0.751354074,0.148708014
2010,3.122169419,0.743415492,2.079648475,0.085704149,0.797045102,0.159282768
2011,3.12414859,0.765269383,2.135563084,0.095522732,0.811665152,0.159617274
2012,3.187843624,0.775463279,2.183382306,0.090692734,0.773216153,0.151749252
2013,3.293728829,0.796611421,2.242236141,0.091034508,0.775638359,0.158982427
2014,3.349538296,0.822667601,2.260004813,0.090098778,0.799047782,0.160267936
2015,3.475356365,0.868112958,2.28552291,0.090595931,0.81533146,0.164115977
2016,3.557280525,0.908688245,2.287407968,0.088670744,0.836853047,0.172337731
2017,3.600974581,0.925057922,2.335724894,0.089670925,0.853966939,0.180136044
2018,3.622372632,0.929524731,2.365826883,0.083518524,0.855098547,0.177985645
2020,3.642846903,0.937136163,2.406415817,0.077868138,0.857857156,0.173978469
2025,3.518936764,0.901761606,2.431086707,0.067010341,0.847371834,0.165463773
2030,3.112114055,0.871021721,2.295044116,0.058566322,0.830047979,0.158751461